,phrase,intent,preproc_text
992,Open Lastfm and sort by the top-fifty by the artist Korpiklaani.,PlayMusic,open lastfm and sort by the topfifty by the artist korpiklaani 
993,put th Power Gaming playlist,PlayMusic,put th power gaming playlist
994,something on Spotify please,PlayMusic,something on spotify please
995,Play some concerto from T. S. Monk.,PlayMusic,play some concerto from t s monk 
996,Can you play the Star Tales album by Colleen?,PlayMusic,can you play the star tales album by colleen
997,Play some G. V. Prakash Kumar,PlayMusic,play some g v prakash kumar
998,Play Got Djent?,PlayMusic,play got djent
999,"I want to hear Jimmy James from the thirties, play a song on Groove Shark.",PlayMusic,i want to hear jimmy james from the thirties play a song on groove shark 
1000,I want to play music from 1979 on Groove Shark.,PlayMusic,i want to play music from 1979 on groove shark 
1001,Please play something from the twenties google music,PlayMusic,please play something from the twenties google music
1002,Play a song from 1994.,PlayMusic,play a song from 1994 
1003,Please play a song from Jesse Harris that's on Youtube,PlayMusic,please play a song from jesse harris that on youtube
1004,Play music from Linzi Stoppard in 1994 from itunes.,PlayMusic,play music from linzi stoppard in 1994 from itunes 
1005,Please play something from the fifties by Roscoe,PlayMusic,please play something from the fifties by roscoe
1006,Play a ballad by Project Pat on google music.,PlayMusic,play a ballad by project pat on google music 
1007,can i lesten to the latest album of T-bone Burnett,PlayMusic,can i lesten to the latest album of tbone burnett
1008,Play chant music from 2016 off Pandora.,PlayMusic,play chant music from 2016 off pandora 
1009,Play some good music from Jamelia.,PlayMusic,play some good music from jamelia 
1010,Play Alabama Concerto by Kou Shibasaki.,PlayMusic,play alabama concerto by kou shibasaki 
1011,Play some good symphony music from Avispa.,PlayMusic,play some good symphony music from avispa 
1012,I want to hear the greatest hits from King Ov Hell on vimeo ,PlayMusic,i want to hear the greatest hits from king ov hell on vimeo
1013,Play Pandora on Last Fm,PlayMusic,play pandora on last fm
1014,Let's listen to the best from Jeff Loomis.,PlayMusic,let listen to the best from jeff loomis 
1015,Play Goldie Hill's record on Google Music.,PlayMusic,play goldie hill record on google music 
1016,Please play Jim Martin on Vimeo.,PlayMusic,please play jim martin on vimeo 
1017,Play Bonnie Annie by Tolmatschowa-schwestern on last fm.,PlayMusic,play bonnie annie by tolmatschowaschwestern on last fm 
1018,Play my Women of Rock playlist.,PlayMusic,play my women of rock playlist 
1019,I want to hear Nellie Mckay's new music.,PlayMusic,i want to hear nellie mckay new music 
1020,Play Moris Tepper,PlayMusic,play moris tepper
1021,I need a SOUNDTRACK FOR STUDY purposes.,PlayMusic,i need a soundtrack for study purposes 
1022,Play concerto music by Nicholaus Arson.,PlayMusic,play concerto music by nicholaus arson 
1023,Can you play Slacker?,PlayMusic,can you play slacker
1024,Play Maria Severa Onofriana and sort by most popular.,PlayMusic,play maria severa onofriana and sort by most popular 
1025,I'm looking for a movement by Asim Brkan that's on Netflix best channel,PlayMusic,i m looking for a movement by asim brkan that on netflix best channel
1026,Use Youtube to play the soundtrack from Manos Hadzidakis.,PlayMusic,use youtube to play the soundtrack from manos hadzidakis 
1027,Play Too Much Rain by the artist D-loc.,PlayMusic,play too much rain by the artist dloc 
1028,Play something by Louisiana Blues,PlayMusic,play something by louisiana blues
1029,play This Is Colour by Panda Bear,PlayMusic,play this is colour by panda bear
1030,Please play some nineties music by Tommy Johnson.,PlayMusic,please play some nineties music by tommy johnson 
1031,Play from the top record from 1973 by Olexandr Ponomarjow.,PlayMusic,play from the top record from 1973 by olexandr ponomarjow 
1032,Play rock like war from Mohammad Reza Lotfi please,PlayMusic,play rock like war from mohammad reza lotfi please
1033,Play something by the artist Jenifer from 2003,PlayMusic,play something by the artist jenifer from 2003
1034,Please play my Happy House playlist.,PlayMusic,please play my happy house playlist 
1035,Play Ashita E by Ian Anderson,PlayMusic,play ashita e by ian anderson
1036,Play music from Stacy Ferguson from the fourties,PlayMusic,play music from stacy ferguson from the fourties
1037,I would like to hear lastfm play journey.,PlayMusic,i would like to hear lastfm play journey 
1038,play some movement by Franky Gee,PlayMusic,play some movement by franky gee
1039,Play the top-5 track from Boris Liatochinski.,PlayMusic,play the top5 track from boris liatochinski 
1040,play them by Guy-manuel De Homem-christo,PlayMusic,play them by guymanuel de homemchristo
1041,Can i get a song from the eighties on Zvooq,PlayMusic,can i get a song from the eighties on zvooq
1042,I'm looking for something by Young Rome from 2001 on Groove Shark,PlayMusic,i m looking for something by young rome from 2001 on groove shark
1043,Play a popular sound track by Joe Pass on Itunes.,PlayMusic,play a popular sound track by joe pass on itunes 
1044,Please play symphony by Travis Mccoy,PlayMusic,please play symphony by travis mccoy
1045,Play some fun-punk,PlayMusic,play some funpunk
1046,I want to hear an album from 2010,PlayMusic,i want to hear an album from 2010
1047,play some movement from the fifties on Spotify,PlayMusic,play some movement from the fifties on spotify
1048,Play Tom Thacker through a top sort.,PlayMusic,play tom thacker through a top sort 
1049,Play anything you want from Slacker,PlayMusic,play anything you want from slacker
1050,I want to hear from Pepe Marchena song Delaware,PlayMusic,i want to hear from pepe marchena song delaware
1051,Play Monts Et Merveilles.,PlayMusic,play monts et merveilles 
1052,I want to hear music from carman from the 1966 album,PlayMusic,i want to hear music from carman from the 1966 album
1053,Play some twenties music,PlayMusic,play some twenties music
1054,Play some 1983 Jon Brooks,PlayMusic,play some 1983 jon brooks
1055,Play some Jerry Dixon,PlayMusic,play some jerry dixon
1056,Play an ep from Little Jimmy Dickens.,PlayMusic,play an ep from little jimmy dickens 
1057,Please play the genre Rock Strumentale.,PlayMusic,please play the genre rock strumentale 
1058,I'd like to hear Grievance from the Youtube service,PlayMusic,i d like to hear grievance from the youtube service
1059,Put some fifties music on Netflix,PlayMusic,put some fifties music on netflix
1060,Please play Short And Sweet by Teyana Taylor from my itunes.,PlayMusic,please play short and sweet by teyana taylor from my itunes 
1061,Play some pop music.,PlayMusic,play some pop music 
1062,Play the greatest hits by Inoj.,PlayMusic,play the greatest hits by inoj 
1063,Please play the latest ep by the fifties famous Gholam Hossein Banan.,PlayMusic,please play the latest ep by the fifties famous gholam hossein banan 
1064,Play a tune from 1973.,PlayMusic,play a tune from 1973 
1065,Play Arif music from the fourties.,PlayMusic,play arif music from the fourties 
1066,Play a song from the fourties by Deezer through Fakhar-e-alam.,PlayMusic,play a song from the fourties by deezer through fakharealam 
1067,I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.,PlayMusic,i wish to listen to gonna get along without ya now by ian curtis 
1068,I'm looking for the last track by Fei Yu Ching from the fourties,PlayMusic,i m looking for the last track by fei yu ching from the fourties
1069,I want to hear Choice on Last Fm from the twenties.,PlayMusic,i want to hear choice on last fm from the twenties 
1070,Please play With Echoes In The Movement Of Stone by Faith Evans.,PlayMusic,please play with echoes in the movement of stone by faith evans 
1071,Play me a track from the sixties,PlayMusic,play me a track from the sixties
1072,Play music off Itunes.,PlayMusic,play music off itunes 
1073,Play Gary Jules's latest music,PlayMusic,play gary jules latest music
1074,Let's hear something from Elena Risteska,PlayMusic,let hear something from elena risteska
1075,Play Les Lecter Smith from deezer.,PlayMusic,play les lecter smith from deezer 
1076,play me something from the fifties,PlayMusic,play me something from the fifties
1077,Could you play the album B Men GahЕЌ by Nathaniel Shilkret,PlayMusic,could you play the album b men gah by nathaniel shilkret
1078,I want to hear music from the Lotus Flower album by Andy Mccoy,PlayMusic,i want to hear music from the lotus flower album by andy mccoy
1079,Please play Different Slanguages by Fred Labour.,PlayMusic,please play different slanguages by fred labour 
1080,Play some 1993 Mark Maclaine on Deezer,PlayMusic,play some 1993 mark maclaine on deezer
1081,Play some pambiche please,PlayMusic,play some pambiche please
1082,Start the Last Fm service with a song from 1976,PlayMusic,start the last fm service with a song from 1976
1083,I want to listen to Foreign Affair.,PlayMusic,i want to listen to foreign affair 
1084,Can you play it on Youtube?,PlayMusic,can you play it on youtube
1085,Play an ep by Cristy Lane off google music.,PlayMusic,play an ep by cristy lane off google music 
1086,Put Lo mejor de Radio 3 on in the background,PlayMusic,put lo mejor de radio 3 on in the background
1087,Play nineties music.,PlayMusic,play nineties music 
1088,Play a song from the thirties by Bruno Pelletier,PlayMusic,play a song from the thirties by bruno pelletier
1089,Can you play Deezer from 2007?,PlayMusic,can you play deezer from 2007
1090,We want to listen to nineties music from mike burkett.,PlayMusic,we want to listen to nineties music from mike burkett 
1091,play Facedown by Maximum Bob,PlayMusic,play facedown by maximum bob
1092,Please play some nineties music album.,PlayMusic,please play some nineties music album 
1093,Play Bad Boy Bill,PlayMusic,play bad boy bill
1094,I want to hear music from the sixties.,PlayMusic,i want to hear music from the sixties 
1095,Play the latest Bobby Darin.,PlayMusic,play the latest bobby darin 
1096,play some music from the thirties,PlayMusic,play some music from the thirties
1097,"Play the track Fight On, State by Yuvan Shankar Raja",PlayMusic,play the track fight on state by yuvan shankar raja
1098,give me some Hank Shermann from 1975 on Lastfm,PlayMusic,give me some hank shermann from 1975 on lastfm
1099,Play Murdoc Nicalls through Itunes.,PlayMusic,play murdoc nicalls through itunes 
1100,Give me some Musica Post-industriale from Groove Shark,PlayMusic,give me some musica postindustriale from groove shark
1101,Start blasting my Latin Jazz playlist.,PlayMusic,start blasting my latin jazz playlist 
1102,Play them by Jt The Bigga Figga.,PlayMusic,play them by jt the bigga figga 
1103,I want to hear the album Live In Munich by Laura Love.,PlayMusic,i want to hear the album live in munich by laura love 
1104,I want to hear a symphony by Raf,PlayMusic,i want to hear a symphony by raf
1105,Play the sound track from Raymond Murray Schafer please,PlayMusic,play the sound track from raymond murray schafer please
1106,Play a melody from 2010 off Itunes.,PlayMusic,play a melody from 2010 off itunes 
1107,put my raining playlist on,PlayMusic,put my raining playlist on
1108,Play the Get Turnt playlist.,PlayMusic,play the get turnt playlist 
1109,I wish to enjoy some fifties music by Johnny Paycheck.,PlayMusic,i wish to enjoy some fifties music by johnny paycheck 
1110,Play the man who sold the world from Steve Swell,PlayMusic,play the man who sold the world from steve swell
1111,Play biguine music.,PlayMusic,play biguine music 
1112,Play the latest Peter Green.,PlayMusic,play the latest peter green 
1113,Something by Danielle Polanco in 1986,PlayMusic,something by danielle polanco in 1986
1114,Play something from the genre muzyka pop,PlayMusic,play something from the genre muzyka pop
1115,Play using from ep of Christopher Martin using Lastfm,PlayMusic,play using from ep of christopher martin using lastfm
1116,I want to hear music from the genre Ecossaise,PlayMusic,i want to hear music from the genre ecossaise
1117,Play pop-rap off Google Music.,PlayMusic,play poprap off google music 
1118,"I want to hear Aki Nawaz, play the song fair annie.",PlayMusic,i want to hear aki nawaz play the song fair annie 
1119,Play Kastro Tis Orias by Karl Denson off Lastfm.,PlayMusic,play kastro tis orias by karl denson off lastfm 
1120,Play Tony Crombie songs that inspire movement,PlayMusic,play tony crombie songs that inspire movement
1121,Please play below the lion rock by stereo mike,PlayMusic,please play below the lion rock by stereo mike
1122,I want to hear Eddi Reader from the twenties.,PlayMusic,i want to hear eddi reader from the twenties 
1123,Play the album entitled Se Potrei Avere Te.,PlayMusic,play the album entitled se potrei avere te 
1124,give me some Last Emperor,PlayMusic,give me some last emperor
1125,Play some art punk.,PlayMusic,play some art punk 
1126,Play music off Youtube.,PlayMusic,play music off youtube 
1127,Open up Groove Shark.,PlayMusic,open up groove shark 
1128,Play Donny Tourette's Push The Button,PlayMusic,play donny tourette push the button
1129,I want to listen to an album from Sibel.,PlayMusic,i want to listen to an album from sibel 
1130,Play music from Lastfm and Deezer.,PlayMusic,play music from lastfm and deezer 
1131,"Play addicts: black meddle, part ii.",PlayMusic,play addicts black meddle part ii 
1132,Play the best music from Klaus Badelt.,PlayMusic,play the best music from klaus badelt 
1133,Play the last chant music by Jan Smit on Deezer.,PlayMusic,play the last chant music by jan smit on deezer 
1134,Play a Sugarcult track from the twenties on Itunes,PlayMusic,play a sugarcult track from the twenties on itunes
1135,Play a NГіta song,PlayMusic,play a n ta song
1136,play on the good ship lollipop by Anthony Hamilton,PlayMusic,play on the good ship lollipop by anthony hamilton
1137,Play While We Were Waiting by Sippie Wallace on Vimeo,PlayMusic,play while we were waiting by sippie wallace on vimeo
1138,Put on Vimeo and play Kacapi Suling,PlayMusic,put on vimeo and play kacapi suling
1139,play something from 1971 by John Bonham,PlayMusic,play something from 1971 by john bonham
1140,put El Mejor Rock en EspaГ±ol playlist,PlayMusic,put el mejor rock en espa ol playlist
1141,Can i use Lastfm to listen to Twilight Time by Dj Khalil?,PlayMusic,can i use lastfm to listen to twilight time by dj khalil
1142,Play Lastfm.,PlayMusic,play lastfm 
1143,Play top music from Charles L. Johnson on vimeo ,PlayMusic,play top music from charles l johnson on vimeo
1144,Please play All Funked Up from Vimeo,PlayMusic,please play all funked up from vimeo
1145,I want to hear the last album from Carsten Bohn,PlayMusic,i want to hear the last album from carsten bohn
1146,Access my Vimeo service to play music from Bernhard Fleischmann,PlayMusic,access my vimeo service to play music from bernhard fleischmann
1147,Open Vimeo and play music.,PlayMusic,open vimeo and play music 
1148,I wish to listen to some instrumental music.,PlayMusic,i wish to listen to some instrumental music 
1149,i wanna listen to a the top-twenty track of Denniz Pop in Pandora,PlayMusic,i wanna listen to a the toptwenty track of denniz pop in pandora
1150,Play Lil Hardin Armstrong from Itunes.,PlayMusic,play lil hardin armstrong from itunes 
1151,play the last Niney The Observer song,PlayMusic,play the last niney the observer song
1152,Play chant by Nao Matsushita from 1983.,PlayMusic,play chant by nao matsushita from 1983 
1153,Play One Way Ticket by Ray Kennedy.,PlayMusic,play one way ticket by ray kennedy 
1154,Play my RomГЎntica playlist,PlayMusic,play my rom ntica playlist
1155,last melody of Bob Hardy on Iheart,PlayMusic,last melody of bob hardy on iheart
1156,"I want to hear music on deezer, play the most popular songs by Daisy Berkowitz.",PlayMusic,i want to hear music on deezer play the most popular songs by daisy berkowitz 
1157,Turn on Slacker radio.,PlayMusic,turn on slacker radio 
1158,Please play the last track from abbath,PlayMusic,please play the last track from abbath
1159,Play something interesting from a soundtrack recorded by Vishal-shekhar in the thirties that's on Iheart,PlayMusic,play something interesting from a soundtrack recorded by vishalshekhar in the thirties that on iheart
1160,Put any 1972 record on.,PlayMusic,put any 1972 record on 
1161,Play music by larry mullen jr.,PlayMusic,play music by larry mullen jr 
1162,Play music from Lastfm.,PlayMusic,play music from lastfm 
1163,Play a soundtrack by Wade Macneil from 1969.,PlayMusic,play a soundtrack by wade macneil from 1969 
1164,Play Jimmy Lafave on Vimeo.,PlayMusic,play jimmy lafave on vimeo 
1165,Play some Rumba Africana.,PlayMusic,play some rumba africana 
1166,Play music from the thirties.,PlayMusic,play music from the thirties 
1167,Let me listen to an eighties ep.,PlayMusic,let me listen to an eighties ep 
1168,last song by Latifa,PlayMusic,last song by latifa
1169,An interesting piece from 1991 please,PlayMusic,an interesting piece from 1991 please
1170,Play a song from 1993 on Youtube,PlayMusic,play a song from 1993 on youtube
1171,Play Device music from the fourties.,PlayMusic,play device music from the fourties 
1172,"I'd like to hear music from 1951, preferably a soundtrack.",PlayMusic,i d like to hear music from 1951 preferably a soundtrack 
1173,Play music through Groove Shark.,PlayMusic,play music through groove shark 
1174,Play me a good ep from 1989 by jenifer,PlayMusic,play me a good ep from 1989 by jenifer
1175,I want to listen to the track Close To The Edge,PlayMusic,i want to listen to the track close to the edge
1176,I want to listen to some Aaliyah,PlayMusic,i want to listen to some aaliyah
1177,I want to listen to Merrily We Roll Along by Marko Desantis.,PlayMusic,i want to listen to merrily we roll along by marko desantis 
1178,Play the newest Roger Troutman track possible,PlayMusic,play the newest roger troutman track possible
1179,Play some P. J. Proby,PlayMusic,play some p j proby
1180,Play some diva house.,PlayMusic,play some diva house 
1181,I want to hear the album Picchio Dal Pozzo from Con Hunley,PlayMusic,i want to hear the album picchio dal pozzo from con hunley
1182,play almost independence day by Vitas,PlayMusic,play almost independence day by vitas
1183,Play the song from the genre Sunshine Reggae that appeals to me.,PlayMusic,play the song from the genre sunshine reggae that appeals to me 
1184,I want to listen to martina mcbride music from 1995,PlayMusic,i want to listen to martina mcbride music from 1995
1185,play some fifties tune on Youtube,PlayMusic,play some fifties tune on youtube
1186,Play the track Coma,PlayMusic,play the track coma
1187,I wish to listen to Roni Duani 's music.,PlayMusic,i wish to listen to roni duani music 
1188,put my Family Road Trip playlist,PlayMusic,put my family road trip playlist
1189,Play New World on groove shark,PlayMusic,play new world on groove shark
1190,Start playing anything Mike Muir made in the thirties,PlayMusic,start playing anything mike muir made in the thirties
1191,Play some thirties Frank Wildhorn,PlayMusic,play some thirties frank wildhorn
1192,Play a sound track from Gregory Douglass.,PlayMusic,play a sound track from gregory douglass 
1193,Play music from 1972,PlayMusic,play music from 1972
1194,I want to play a song from the nineties by Roddy Woomble,PlayMusic,i want to play a song from the nineties by roddy woomble
1195,Plaly The Ladybug Transistor by Loreena Mckennitt.,PlayMusic,plaly the ladybug transistor by loreena mckennitt 
1196,Play the latest music from Mark Knopfler.,PlayMusic,play the latest music from mark knopfler 
1197,Play music from the eighties.,PlayMusic,play music from the eighties 
1198,Play Tyrants And Wraiths,PlayMusic,play tyrants and wraiths
1199,Play Before I Grew Up To Love You by Wafah Dufour,PlayMusic,play before i grew up to love you by wafah dufour
1200,Rate All That Remains a five,RateBook,rate all that remains a five
1201,Give this album 4 points,RateBook,give this album 4 points
1202,Give The Best Mysteries of Isaac Asimov four stars out of 6.,RateBook,give the best mysteries of isaac asimov four stars out of 6 
1203,Rate this current novel 1 out of 6 points.,RateBook,rate this current novel 1 out of 6 points 
1204,Give this textbook 5 points,RateBook,give this textbook 5 points
1205,Give this series 0 out of 6 stars,RateBook,give this series 0 out of 6 stars
1206,Rate The Ultimate Solution two out of 6 points,RateBook,rate the ultimate solution two out of 6 points
1207,Give this essay four stars out of 6.,RateBook,give this essay four stars out of 6 
1208,rate The Braindead Megaphone series zero out of 6 points,RateBook,rate the braindead megaphone series zero out of 6 points
1209,Rate The Change 0 out of 6 points,RateBook,rate the change 0 out of 6 points
1210,rate this series 5 out of 6 stars,RateBook,rate this series 5 out of 6 stars
1211,Give a 4 rating to Faber Book of Irish Verse,RateBook,give a 4 rating to faber book of irish verse
1212,I would like to give the current textbook a rating of three out of 6.,RateBook,i would like to give the current textbook a rating of three out of 6 
1213,Give The Starmen four out of 6 stars,RateBook,give the starmen four out of 6 stars
1214,Rate The Loneliness of the Long Distance Runner 0 points out of 6,RateBook,rate the loneliness of the long distance runner 0 points out of 6
1215,Give the current album 1 star,RateBook,give the current album 1 star
1216,rate this essay a 1,RateBook,rate this essay a 1
1217,Give this series 3 stars,RateBook,give this series 3 stars
1218,give 2 out of 6 points to this book,RateBook,give 2 out of 6 points to this book
1219,Give zero stars to The Skeptical Environmentalist saga,RateBook,give zero stars to the skeptical environmentalist saga
1220,Rate the current novel one out of 6,RateBook,rate the current novel one out of 6
1221,Give the current essay 1 star,RateBook,give the current essay 1 star
1222,The Execution of Justice only deserves 2 points,RateBook,the execution of justice only deserves 2 points
1223,Rate this textbook a five,RateBook,rate this textbook a five
1224,Give one points of 6 to Death in the City of Light,RateBook,give one points of 6 to death in the city of light
1225,Give this novel 5 stars,RateBook,give this novel 5 stars
1226,give the current album a score of five out of 6,RateBook,give the current album a score of five out of 6
1227,Give White House Diary two points,RateBook,give white house diary two points
1228,mark the current textbook a 1 from the total of 6,RateBook,mark the current textbook a 1 from the total of 6
1229,Give the current series two stars.,RateBook,give the current series two stars 
1230,Give 5 out of 6 stars to Learning Perl,RateBook,give 5 out of 6 stars to learning perl
1231,Give 0 out of 6 stars to the current saga,RateBook,give 0 out of 6 stars to the current saga
1232,Give The Diamond Chariot a 0 out of 6.,RateBook,give the diamond chariot a 0 out of 6 
1233,Give Poop: A Natural History of the Unmentionable 4 of 6 stars,RateBook,give poop a natural history of the unmentionable 4 of 6 stars
1234,Give A History of the Mind a 2 out of 6 points.,RateBook,give a history of the mind a 2 out of 6 points 
1235,Rate this novel 3 out of 6 points.,RateBook,rate this novel 3 out of 6 points 
1236,Give the current essay five points out of 6.,RateBook,give the current essay five points out of 6 
1237,Give five out of 6 stars to The Plucker,RateBook,give five out of 6 stars to the plucker
1238,Give this essay 1 stars out of 6,RateBook,give this essay 1 stars out of 6
1239,I would say Dead Wood was three stars,RateBook,i would say dead wood was three stars
1240,award my current album two stars out of 6,RateBook,award my current album two stars out of 6
1241,rate this essay 3 out of 6 points,RateBook,rate this essay 3 out of 6 points
1242,the current book I'm reading should be rated zero out of 6,RateBook,the current book i m reading should be rated zero out of 6
1243,Rate Gota's War a one,RateBook,rate gota war a one
1244,rate The Adventures of Mr. Nicholas Wisdom a 1 out of 6,RateBook,rate the adventures of mr nicholas wisdom a 1 out of 6
1245,Rate The Slap five of 6,RateBook,rate the slap five of 6
1246,Give 0 out of 6 stars to the current novel,RateBook,give 0 out of 6 stars to the current novel
1247,Give Eight Days of Luke a rating of five.,RateBook,give eight days of luke a rating of five 
1248,Give the current novel three stars,RateBook,give the current novel three stars
1249,Give The Blue Equinox series 5 points,RateBook,give the blue equinox series 5 points
1250,I want to rate The Obama Syndrome zero of 6,RateBook,i want to rate the obama syndrome zero of 6
1251,give Under the Sign of Saturn a four out of 6,RateBook,give under the sign of saturn a four out of 6
1252,rate this book a 4 out of 6,RateBook,rate this book a 4 out of 6
1253,"give The God Machine two of 6
 points",RateBook,give the god machine two of 6 points
1254,Give After the First Death a 2 out of 6 points rating.,RateBook,give after the first death a 2 out of 6 points rating 
1255,Rate The CIA and the Cult of Intelligence a 5.,RateBook,rate the cia and the cult of intelligence a 5 
1256,I would like to rate The Hundred-Year Christmas four stars.,RateBook,i would like to rate the hundredyear christmas four stars 
1257,Give The Sacred Fount 3 of 6 stars,RateBook,give the sacred fount 3 of 6 stars
1258,Set my rating for this chronicle to 0 stars,RateBook,set my rating for this chronicle to 0 stars
1259,Rate the current essay four out of 6.,RateBook,rate the current essay four out of 6 
1260,Rate this album a 1 out of 6,RateBook,rate this album a 1 out of 6
1261,rate this textbook a 5,RateBook,rate this textbook a 5
1262,Give 5 of 6 points to The Man from Barbarossa,RateBook,give 5 of 6 points to the man from barbarossa
1263,I think this novel should get a 3 out of 6,RateBook,i think this novel should get a 3 out of 6
1264,Give the current textbook a one out of 6 rating.,RateBook,give the current textbook a one out of 6 rating 
1265,Give four stars to the current textbook,RateBook,give four stars to the current textbook
1266,Rate the current essay four out of 6.,RateBook,rate the current essay four out of 6 
1267,Give Three Junes one point out of 6.,RateBook,give three junes one point out of 6 
1268,Give Chater's Annual a two out of 6 rating.,RateBook,give chater annual a two out of 6 rating 
1269,Give five points to The Good Daughter book,RateBook,give five points to the good daughter book
1270,Rate The Silent Speaker four out of 6,RateBook,rate the silent speaker four out of 6
1271,Give The Lost Princess 3 stars.,RateBook,give the lost princess 3 stars 
1272,rate this chronicle one out of 6 points,RateBook,rate this chronicle one out of 6 points
1273,Give this novel four stars,RateBook,give this novel four stars
1274,rate the current book two stars,RateBook,rate the current book two stars
1275,Rate the current textbook a two,RateBook,rate the current textbook a two
1276,"Rate Ehi, prof! a one out of 6",RateBook,rate ehi prof a one out of 6
1277,Rate the current novel four of 6 stars,RateBook,rate the current novel four of 6 stars
1278,Rate the current book a zero.,RateBook,rate the current book a zero 
1279,Give this essay 4 stars,RateBook,give this essay 4 stars
1280,Rate She Returns to the Floating World 4 out of 6 stars.,RateBook,rate she returns to the floating world 4 out of 6 stars 
1281,rate this chronicle two points,RateBook,rate this chronicle two points
1282,rate the current novel a 0 of 6,RateBook,rate the current novel a 0 of 6
1283,Give the current album a 4 out of 6.,RateBook,give the current album a 4 out of 6 
1284,Give this novel four of 6 points,RateBook,give this novel four of 6 points
1285,Give this current series a rating of one.,RateBook,give this current series a rating of one 
1286,give this textbook a four,RateBook,give this textbook a four
1287,Rate Making Sense of Marx 2 stars.,RateBook,rate making sense of marx 2 stars 
1288,Give this album 2 points.,RateBook,give this album 2 points 
1289,I'd like to give The Harder They Come two points,RateBook,i d like to give the harder they come two points
1290,Give the current essay 5 out of 6 stars,RateBook,give the current essay 5 out of 6 stars
1291,this album deserves a 0 out of 6,RateBook,this album deserves a 0 out of 6
1292,rate this series zero out of 6 stars,RateBook,rate this series zero out of 6 stars
1293,Give 4 stars to the current essay,RateBook,give 4 stars to the current essay
1294,please give a 2 out of 6 to House of Many Ways,RateBook,please give a 2 out of 6 to house of many ways
1295,Give Twisted Souls 1 out of 6 points,RateBook,give twisted souls 1 out of 6 points
1296,Give this book a rating of 2 points.,RateBook,give this book a rating of 2 points 
1297,Give this current saga a rating of four points.,RateBook,give this current saga a rating of four points 
1298,rate this novel four stars,RateBook,rate this novel four stars
1299,Rate Hurricane Punch two out of 6.,RateBook,rate hurricane punch two out of 6 
1300,mark The Final Battle score two out of 6,RateBook,mark the final battle score two out of 6
1301,Give 50 Reasons to Hate the French a rating of 3.,RateBook,give 50 reasons to hate the french a rating of 3 
1302,Give the current essay five points.,RateBook,give the current essay five points 
1303,Rate The Bell Curve a three.,RateBook,rate the bell curve a three 
1304,"Give Enemies, A Love Story 4 points out of 6",RateBook,give enemies a love story 4 points out of 6
1305,I'd rate this novel a two,RateBook,i d rate this novel a two
1306,Give four stars to Windswept House: A Vatican Novel,RateBook,give four stars to windswept house a vatican novel
1307,rate On the Road a five,RateBook,rate on the road a five
1308,Give Honor Girl zero of 6 stars,RateBook,give honor girl zero of 6 stars
1309,rate the current essay a one,RateBook,rate the current essay a one
1310,Give The Game of Silence 3 points,RateBook,give the game of silence 3 points
1311,Give the current novel two points out of 6,RateBook,give the current novel two points out of 6
1312,Give two stars to Scribblings,RateBook,give two stars to scribblings
1313,I want to rate this book 0 points out of 6,RateBook,i want to rate this book 0 points out of 6
1314,rate The Willows at Christmas 0 out of 6 stars,RateBook,rate the willows at christmas 0 out of 6 stars
1315,rate the Dry series two out of 6 stars,RateBook,rate the dry series two out of 6 stars
1316,Give Good Building Design and Construction in the Philippines 1 of 6 points,RateBook,give good building design and construction in the philippines 1 of 6 points
1317,Rate the current album a 5 out of 6,RateBook,rate the current album a 5 out of 6
1318,Give this novel 5 stars,RateBook,give this novel 5 stars
1319,Rate the current book 0 stars,RateBook,rate the current book 0 stars
1320,Rate The Fall-Down Artist 5 stars.,RateBook,rate the falldown artist 5 stars 
1321,rat the current textbook a two out of 6 points,RateBook,rat the current textbook a two out of 6 points
1322,rate Notable American Women a 3 star,RateBook,rate notable american women a 3 star
1323,I give The Monkey and the Tiger a rating of 2 points.,RateBook,i give the monkey and the tiger a rating of 2 points 
1324,rate Beaver Towers five out of 6 stars,RateBook,rate beaver towers five out of 6 stars
1325,rate the current essay 4 out of 6 points,RateBook,rate the current essay 4 out of 6 points
1326,Give one out of 6 stars to The Shiva Option,RateBook,give one out of 6 stars to the shiva option
1327,Give Double Persephone series two stars,RateBook,give double persephone series two stars
1328,Give zero of 6 stars to the current album,RateBook,give zero of 6 stars to the current album
1329,rate the current textbook four points,RateBook,rate the current textbook four points
1330,rate this book a 0 out of 6,RateBook,rate this book a 0 out of 6
1331,I would rate Coming Through Slaughter a four out of 6.,RateBook,i would rate coming through slaughter a four out of 6 
1332,rate the current album 0 out of 6,RateBook,rate the current album 0 out of 6
1333,rate Queen of the Falls 0 of 6,RateBook,rate queen of the falls 0 of 6
1334,Give this textbook 4 points.,RateBook,give this textbook 4 points 
1335,Rate this novel three out of 6 stars,RateBook,rate this novel three out of 6 stars
1336,Give one 6 stars to this book,RateBook,give one 6 stars to this book
1337,Give Unleashing Nepal zero stars,RateBook,give unleashing nepal zero stars
1338,Give the current novel two stars of 6.,RateBook,give the current novel two stars of 6 
1339,"Give three stars out of 6 to My Sister, My Love",RateBook,give three stars out of 6 to my sister my love
1340,"Rate Small Screen, Big Picture a 0 out of 6.",RateBook,rate small screen big picture a 0 out of 6 
1341,Give this saga a 5 out of 6 rating.,RateBook,give this saga a 5 out of 6 rating 
1342,Give one points to The Body of Christopher Creed,RateBook,give one points to the body of christopher creed
